latitude,longitude
48.0028,107.6368
48.0692,107.564
48.2212,107.3964
48.4536,107.1377
49.7324,105.6576
49.778,105.6029
49.825,105.5464
49.8961,105.4608
49.9428,105.4043
49.9888,105.3486
50.0348,105.2927
50.0816,105.2357
50.1333,105.1726
50.1971,105.0944
50.2429,105.0382
50.2943,104.9747
50.3408,104.9173
50.3829,104.8573
50.428,104.7755
50.4689,104.6988
50.5076,104.6256
50.5441,104.5564
50.5809,104.4866
50.6189,104.4144
50.6665,104.3235
50.7022,104.2546
50.7403,104.1804
50.7763,104.1105
50.8144,104.0362
50.8697,103.9281
50.9049,103.8589
50.94,103.79
50.975,103.721
51.0098,103.6522
51.0449,103.5826
51.078,103.5168
51.1133,103.4462
51.148,103.3768
51.1834,103.3059
51.2206,103.2313
51.2559,103.1604
51.2921,103.0875
51.3278,103.0151
51.3632,102.9434
51.3989,102.8709
51.4345,102.798
51.4705,102.7246
51.5059,102.6519
51.5416,102.5785
51.5772,102.5052
51.6127,102.4316
51.6482,102.358
51.6836,102.2842
51.7194,102.2096
51.7544,102.1365
51.7901,102.0615
51.8247,101.9887
51.8597,101.915
51.8937,101.8429
51.932,101.7615
51.9686,101.6834
52.0033,101.6094
52.0382,101.535
52.0849,101.4348
52.1198,101.3594
52.1543,101.285
52.1901,101.2073
52.2251,101.1312
52.26,101.0551
52.2955,100.9777
52.3303,100.9013
52.3743,100.8046
52.4122,100.7211
52.4477,100.6422
52.4831,100.5636
52.5176,100.4868
52.5516,100.4108
52.5861,100.3335
52.62,100.2572
52.6536,100.1813
52.7162,100.0395
52.7542,99.9531
52.7946,99.8609
52.8534,99.726
52.886,99.6509
52.9185,99.5758
52.9509,99.5008
52.983,99.4262
53.0149,99.3519
53.0463,99.2784
53.0785,99.2028
53.1405,99.0572
53.2042,98.906
53.2364,98.8295
54.481,95.5643
54.5239,95.4255
54.5537,95.3294
54.5953,95.1938
54.6294,95.0821
54.6543,95.0004
54.6794,94.9178
54.7043,94.8354
54.7298,94.7506
54.7543,94.6689
54.78,94.5829
54.8052,94.4984
54.832,94.4083
54.8711,94.2754
54.9046,94.1615
54.9298,94.0755
54.955,93.989
54.9803,93.9018
55.006,93.813
55.0319,93.7233
55.0574,93.6346
55.0837,93.5424
55.1161,93.4289
55.142,93.3379
55.1737,93.2255
55.199,93.136
55.2239,93.047
55.2491,92.9561
55.2733,92.8693
55.3001,92.7723
55.3243,92.6845
55.3485,92.596
55.3726,92.5079
55.4041,92.3941
55.4337,92.2913
55.4594,92.2013
55.4899,92.0935
55.5159,92.0008
55.5406,91.9122
55.5667,91.8182
55.606,91.6766
55.6329,91.5792
55.658,91.4879
55.6826,91.3983
55.7074,91.3068
55.7321,91.2159
55.757,91.1241
55.792,90.9938
55.8168,90.901
55.8422,90.806
55.868,90.7088
55.893,90.6143
55.9167,90.5242
55.9414,90.4299
55.9769,90.2941
56.0086,90.172
56.0329,90.0778
56.0577,89.9809
56.0855,89.8727
56.1178,89.7454
56.1503,89.6169
56.1777,89.5085
56.2018,89.412
56.2252,89.3181
56.2492,89.2219
56.2729,89.1261
56.2965,89.0303
56.3196,88.9358
56.3512,88.797
56.3711,88.7
56.3921,88.5984
56.4178,88.477
56.4394,88.3744
56.4605,88.2732
56.4804,88.1779
56.5041,88.0627
56.5292,87.9402
56.5488,87.8438
56.5688,87.7454
56.5885,87.6476
56.6084,87.5485
56.6283,87.4492
56.6589,87.2944
56.6788,87.1937
56.6985,87.0935
56.7178,86.9947
56.737,86.8955
56.7635,86.7576
56.7829,86.6567
56.8025,86.5546
56.8216,86.4535
56.8406,86.3531
56.8598,86.2506
56.8786,86.1502
56.8976,86.0471
56.9162,85.9467
56.935,85.8449
56.9541,85.7401
56.9727,85.6378
56.9913,85.5353
57.0099,85.432
57.0283,85.3284
57.0464,85.2268
57.0643,85.1253
57.0831,85.019
57.1009,84.9164
57.1193,84.8114
57.1428,84.6971
57.1708,84.5871
57.1966,84.4865
57.2232,84.3828
57.2483,84.2841
57.2736,84.1837
57.2988,84.0836
57.3242,83.9826
57.3491,83.8832
57.3739,83.7833
57.3995,83.6799
57.4244,83.5793
57.4494,83.4773
57.4815,83.3457
57.507,83.2404
57.5328,83.1342
57.5741,82.962
57.5989,82.8577
57.6238,82.7529
57.6486,82.648
57.6733,82.5428
57.6974,82.4396
57.7221,82.3333
57.7464,82.2285
57.7707,82.1234
57.7949,82.0175
57.8266,81.8785
57.8504,81.774
57.8744,81.6671
57.9097,81.51
57.9344,81.3986
57.9622,81.2733
57.9859,81.1654
58.0094,81.0584
58.0336,80.9472
58.0569,80.8398
58.0802,80.7324
58.1036,80.623
58.127,80.513
58.1502,80.4039
58.1735,80.2938
58.1964,80.1843
58.2191,80.0758
58.2423,79.9642
58.2652,79.8532
58.2875,79.7449
58.31,79.636
58.3469,79.4733
58.3755,79.3468
58.401,79.2319
58.4406,79.0508
58.4646,78.9407
58.4937,78.8066
58.5573,78.5099
58.5838,78.385
58.6073,78.2737
58.6315,78.1588
58.658,78.0318
58.6864,77.895
58.7098,77.7813
58.7331,77.6675
58.7793,77.4407
58.816,77.258
58.8421,77.1279
58.8652,77.0113
58.894,76.8652
58.9168,76.7485
58.9394,76.6329
58.9633,76.5096
59.0007,76.316
59.023,76.1991
59.0446,76.0854
59.067,75.9671
59.0885,75.853
59.1107,75.7342
59.1321,75.6186
59.1535,75.5032
59.1752,75.3857
59.1964,75.2694
59.2172,75.1546
59.2388,75.0351
59.2601,74.9161
59.2814,74.797
59.3021,74.6796
59.3231,74.5615
59.3498,74.4312
59.378,74.3092
59.4049,74.1938
59.4317,74.0773
59.4577,73.9642
59.4839,73.8492
59.5107,73.7311
59.5367,73.6155
59.5626,73.4997
59.5883,73.3846
59.6138,73.2696
59.6397,73.1525
59.6649,73.0379
59.6902,72.9218
59.7156,72.8041
59.7405,72.6889
59.7659,72.5706
59.7904,72.4556
59.8153,72.3382
59.8402,72.2205
59.8873,71.9953
59.9136,71.8682
59.938,71.7498
59.9622,71.6316
59.9861,71.5138
60.0104,71.3944
60.0345,71.2746
60.0585,71.155
60.0819,71.037
60.1059,70.916
60.1293,70.7965
60.1525,70.6778
60.1759,70.5571
