latitude,longitude
31.1221,121.8256
31.0792,121.8527
31.0563,121.8715
31.0373,121.8862
31.0204,121.8893
31.0034,121.8766
30.9961,121.8576
30.9904,121.8315
30.9813,121.7938
30.9761,121.7742
30.9704,121.7534
30.9649,121.7325
30.9642,121.7018
30.9702,121.6707
30.978,121.6291
30.9861,121.5852
30.9924,121.5526
31.0033,121.5244
31.0258,121.4974
31.0642,121.4629
31.1034,121.4282
31.1417,121.3942
31.1818,121.3583
31.223,121.3211
31.2648,121.2833
31.3073,121.2451
31.3521,121.2047
31.4174,121.1462
31.4743,121.1046
31.5556,121.0606
31.6117,121.0308
31.671,120.9992
31.7306,120.9674
31.7869,120.9374
31.8517,120.9026
31.9115,120.8706
31.9692,120.8396
32.0276,120.8081
32.0848,120.7775
32.1439,120.7438
32.1997,120.7098
32.3122,120.6459
32.3702,120.6128
32.4284,120.5794
32.5011,120.537
32.5338,120.5127
32.5874,120.4601
32.6335,120.4073
32.6782,120.3562
32.7697,120.2508
32.813,120.2009
32.9043,120.0958
50.0411,106.8447
50.1853,106.6423
50.3318,106.435
50.3817,106.3629
50.4433,106.2738
50.4885,106.2083
50.5344,106.1415
50.5838,106.0696
50.6295,106.0029
50.6748,105.9367
50.7201,105.8699
50.7669,105.8009
50.8124,105.7337
50.8574,105.6667
50.9021,105.6003
50.9471,105.5331
50.9934,105.4638
51.0385,105.3959
51.0835,105.3283
51.1284,105.2607
51.1732,105.1928
51.2167,105.1265
51.2606,105.0597
51.3042,104.9931
51.349,104.9246
51.3932,104.8568
51.437,104.7892
51.4818,104.7201
51.5273,104.6495
51.5719,104.5803
51.6166,104.5113
51.6614,104.4434
51.7052,104.3765
51.7503,104.3074
51.7942,104.2397
51.8381,104.1718
51.8835,104.1016
51.9298,104.0295
51.9775,103.9547
52.0276,103.8738
52.0721,103.8014
52.1158,103.7304
52.1602,103.6582
52.2045,103.5862
52.2485,103.5142
52.2925,103.4421
52.3365,103.3697
52.3805,103.297
52.4241,103.2237
52.4625,103.1436
52.4973,103.0576
52.5322,102.9699
52.566,102.8847
52.6003,102.7977
52.635,102.7095
52.6694,102.6225
52.7053,102.5305
52.7419,102.4369
52.7754,102.3508
52.809,102.2641
52.85,102.1579
52.8831,102.0719
52.9163,101.9852
52.949,101.8995
52.9822,101.8126
53.0151,101.7259
53.0485,101.6374
53.0811,101.5509
53.1141,101.463
53.1469,101.3754
53.1801,101.2862
53.2151,101.1919
53.2458,101.1089
53.2781,101.0215
53.3132,100.926
53.3463,100.8357
53.3788,100.7464
53.4116,100.6563
53.4441,100.5666
53.4767,100.476
53.5095,100.3851
53.5399,100.3003
53.5738,100.2052
53.6066,100.113
53.6386,100.0226
53.6711,99.9307
53.704,99.8372
53.7363,99.745
53.7685,99.6525
53.8006,99.5606
53.852,99.4119
53.8866,99.3112
53.9187,99.218
53.9513,99.1226
53.983,99.0293
54.015,98.935
54.0467,98.841
54.0783,98.7472
54.11,98.6527
54.1418,98.5574
54.1731,98.4634
54.2047,98.368
54.2362,98.2722
54.2679,98.176
54.2997,98.0789
54.3312,97.9823
54.3621,97.8871
54.3939,97.7896
54.4252,97.6933
54.4564,97.5968
54.4878,97.4993
54.5186,97.4031
54.5493,97.3067
54.5806,97.2083
54.6118,97.1097
54.6448,97.0053
54.6863,96.873
54.7169,96.7746
54.7582,96.6416
54.788,96.5416
54.8177,96.4406
54.8471,96.3409
54.8761,96.2419
54.9251,96.0746
54.9542,95.9746
54.9834,95.8739
55.0124,95.7731
55.0413,95.6725
55.0704,95.5705
55.0989,95.4706
55.1282,95.3672
55.1566,95.2662
55.1853,95.1642
55.2138,95.0619
55.2424,94.9592
55.2753,94.8637
55.3463,94.7211
55.3903,94.6362
55.4342,94.5513
55.4772,94.4677
55.5215,94.3812
55.5651,94.2956
55.6083,94.2108
55.6524,94.1237
55.696,94.0373
55.7396,93.9506
55.7809,93.8683
55.8274,93.7752
55.8717,93.6865
55.9151,93.5989
55.9571,93.5137
56.0131,93.3998
56.0562,93.3119
56.0994,93.2232
56.162,93.0944
56.2057,93.004
56.2499,92.9122
56.2936,92.8219
56.3381,92.7321
56.383,92.6413
56.4275,92.5503
56.4723,92.4581
56.5161,92.3677
56.5615,92.2737
56.6049,92.1834
56.6505,92.0882
56.6949,91.9951
56.7379,91.9047
56.7817,91.8121
56.8271,91.7159
56.8708,91.6229
56.9144,91.5296
56.959,91.4317
57.028,91.2603
57.0668,91.1599
57.1062,91.0575
57.152,90.9378
57.1901,90.838
57.2379,90.7117
57.2764,90.6097
57.3156,90.5056
57.379,90.3359
57.4318,90.1941
57.4725,90.0839
57.5093,89.9839
57.5476,89.8791
57.5858,89.7744
57.6243,89.6686
57.6617,89.5652
57.7007,89.4568
57.7389,89.3505
57.7774,89.2444
57.8158,89.1382
57.854,89.032
57.8923,88.9246
57.9305,88.8173
57.9682,88.7111
58.0052,88.6059
58.0438,88.496
58.0805,88.3909
58.1199,88.2775
58.1572,88.1696
58.1951,88.0598
58.2437,87.9182
58.2808,87.8095
58.3192,87.6969
58.3798,87.5175
58.4164,87.4086
58.4558,87.2906
58.4931,87.1786
58.5302,87.0666
58.5671,86.9545
58.6127,86.8156
58.6514,86.6891
58.6943,86.5369
58.7353,86.388
58.7679,86.2688
58.7998,86.1515
58.8411,85.9993
58.8719,85.8848
58.9046,85.7626
58.9362,85.6442
58.9678,85.5248
58.999,85.4066
59.0311,85.284
59.0628,85.1624
59.0937,85.0434
59.1463,84.8393
59.178,84.7153
59.2087,84.5948
59.2401,84.4699
59.2707,84.3483
59.3022,84.2223
59.3315,84.1046
59.3629,83.9778
59.3927,83.8566
59.4232,83.7316
59.4533,83.608
59.4834,83.4834
59.5129,83.3608
59.5497,83.2065
59.5803,83.0775
59.6109,82.9479
59.6534,82.7663
59.6824,82.6416
59.714,82.5045
59.7459,82.3655
59.7965,82.1435
59.8262,82.0114
59.8548,81.884
59.8827,81.7594
59.9108,81.6326
59.9671,81.3761
59.9942,81.2514
60.0217,81.1248
60.0619,80.937
60.0892,80.8093
60.1165,80.6803
60.1561,80.4914
60.1904,80.3269
60.2256,80.1575
60.2519,80.0301
60.2779,79.903
60.3035,79.7767
60.3361,79.6154
60.366,79.4663
60.3916,79.3373
60.417,79.2087
60.4421,79.0805
60.4674,78.9512
60.4926,78.8211
60.5172,78.6931
60.5424,78.5614
60.5672,78.4314
60.5917,78.3018
60.6157,78.173
60.64,78.0431
60.664,77.9132
60.6876,77.7848
60.7115,77.654
60.7511,77.4532
60.777,77.325
60.8025,77.1961
60.8274,77.0686
60.8525,76.9399
60.8774,76.8124
60.906,76.6653
60.9311,76.5366
60.9597,76.4104
60.9912,76.2892
61.0234,76.1663
61.0559,76.042
61.088,75.9182
61.1193,75.7968
61.1509,75.674
61.1823,75.5507
61.2143,75.4249
61.2458,75.3007
61.2816,75.1578
61.3127,75.0324
61.3432,74.9063
61.3734,74.7814
61.4036,74.6558
61.4336,74.5308
61.4638,74.4043
61.4961,74.2611
61.54,74.0084
61.5606,73.8814
61.5821,73.7478
61.6022,73.6218
61.6236,73.4874
61.6442,73.3567
61.6647,73.2257
61.685,73.0945
61.7047,72.9667
61.7248,72.8353
61.7449,72.7028
61.7642,72.5747
61.7834,72.4466
61.8027,72.3168
61.8222,72.1856
61.8412,72.0557
61.86,71.927
61.879,71.7953
61.8976,71.6661
61.9161,71.5368
61.9341,71.4086
61.9526,71.2777
61.9709,71.1477
61.9895,71.0145
62.0103,70.8501
62.0243,70.7204
62.0387,70.5873
62.0531,70.4576
62.0699,70.3053
62.0841,70.1763
62.0984,70.0448
62.1123,69.9166
62.1264,69.7843
62.1397,69.6567
62.1537,69.5228
62.167,69.3925
62.1804,69.2617
62.1938,69.1281
62.2067,69.0006
62.2196,68.8695
62.2322,68.7397
62.2445,68.6129
62.2568,68.4839
62.2693,68.352
62.287,68.1637
62.3048,67.9698
62.3166,67.8394
62.3279,67.7147
62.3394,67.5855
62.3508,67.4552
62.3617,67.3296
62.376,67.1621
62.4681,57.8468
62.4667,57.7301
62.4651,57.6143
62.4636,57.5024
62.4618,57.3843
62.46,57.2722
62.4581,57.1595
62.4561,57.0431
62.4541,56.9307
62.4519,56.8157
62.4472,56.5889
62.4448,56.4783
62.4423,56.3664
62.4397,56.2526
62.4371,56.1432
62.4342,56.029
62.4315,55.9182
62.4286,55.8096
62.4256,55.6984
62.4224,55.5872
62.4192,55.4757
62.4159,55.3655
62.4127,55.2567
62.4092,55.146
62.4058,55.0358
62.4024,54.9232
62.3989,54.8115
62.3952,54.6986
62.3914,54.5866
62.3877,54.4766
62.3837,54.3633
62.3797,54.2514
62.3756,54.1387
62.3714,54.0267
62.3671,53.9145
62.3628,53.8026
62.3584,53.6882
62.3539,53.5749
62.3492,53.4606
62.3441,53.3349
62.3392,53.2155
62.3343,53.1006
62.3292,52.9841
62.324,52.8663
62.3164,52.6996
62.3109,52.5811
62.3042,52.4376
62.299,52.3294
62.293,52.2065
62.2872,52.0911
62.2814,51.9771
62.2754,51.8612
62.2692,51.7434
62.263,51.6263
62.2571,51.5178
62.2503,51.3937
62.2433,51.2688
62.2366,51.1527
62.2299,51.0355
62.223,50.9171
62.2158,50.7957
62.2087,50.6775
62.2014,50.5592
62.1942,50.4417
62.1868,50.3207
62.1792,50.2008
62.1716,50.0809
62.1586,49.88
62.1505,49.7577
62.1427,49.641
62.1347,49.521
62.1266,49.4041
62.1182,49.2829
62.11,49.1666
62.1008,49.045
62.0906,48.9251
62.0804,48.8061
62.0704,48.688
62.0599,48.5644
62.0494,48.4422
62.039,48.3231
62.028,48.1982
62.0172,48.0758
62.0061,47.9535
61.9949,47.8305
61.9837,47.7088
61.9722,47.5855
61.9601,47.4565
61.9485,47.334
61.9369,47.2131
61.9249,47.0891
61.9129,46.9653
61.9004,46.8406
61.8873,46.7182
61.8737,46.5928
61.8603,46.4686
61.8442,46.3217
61.8308,46.1991
61.8171,46.0756
61.8029,45.9488
61.789,45.8258
61.7683,45.6449
61.7538,45.5189
61.7391,45.3934
61.7246,45.2706
61.7097,45.1437
61.6982,45.0089
61.6893,44.8258
61.6833,44.6973
61.6769,44.5677
61.6706,44.4401
61.6643,44.3157
61.6576,44.1848
61.6507,44.0566
61.6438,43.9272
61.6368,43.7977
61.6296,43.6671
61.6206,43.5066
61.6131,43.3771
61.6054,43.2462
61.5975,43.1136
61.5896,42.9832
61.5756,42.7559
61.5587,42.4916
61.5503,42.3636
61.5417,42.2308
61.5331,42.0999
61.516,41.842
61.4983,41.584
61.4852,41.3983
61.4686,41.1677
61.2817,38.8812
61.2694,38.7438
61.2458,38.4841
61.2269,38.3007
61.21,38.1676
61.1935,38.0372
61.177,37.9049
61.1607,37.7728
61.144,37.6385
61.1276,37.5067
61.1113,37.3772
61.0913,37.2215
61.0631,37.004
61.0459,36.8724
61.0289,36.7441
60.9889,36.4466
60.9629,36.2742
60.9321,36.0912
60.9094,35.9573
60.887,35.8259
60.8556,35.6432
60.8326,35.5108
60.8096,35.3789
60.7771,35.1948
60.753,35.0596
60.7279,34.9193
60.7046,34.7898
60.6806,34.6574
60.6569,34.528
60.6324,34.3953
60.6082,34.265
60.5845,34.1377
60.56,34.0079
60.5357,33.8793
60.5106,33.7471
60.4858,33.6181
60.4613,33.4912
