latitude,longitude
51.4776,-0.4803
51.4772,-0.5008
51.4768,-0.5213
51.4743,-0.5418
51.4622,-0.5585
51.4472,-0.5605
51.4296,-0.5476
51.4181,-0.5322
51.3562,-0.425
51.3333,-0.3838
51.3222,-0.3494
51.3152,-0.1733
51.3123,-0.0965
51.3093,-0.0146
51.306,0.0747
51.303,0.1632
51.2997,0.2528
51.2968,0.349
51.2939,0.4401
51.2901,0.5403
51.2856,0.6338
51.2804,0.7365
51.276,0.8373
51.2715,0.9159
51.2573,1.0492
51.2465,1.1546
51.2366,1.2583
51.2266,1.3619
51.2159,1.4715
51.2053,1.5802
51.1946,1.6879
51.1835,1.7989
51.1721,1.9118
51.1609,2.0219
51.1495,2.1333
51.1372,2.2505
51.1245,2.3619
51.1074,2.4792
51.0916,2.5901
51.0758,2.7045
51.0598,2.8206
51.043,2.9406
51.0265,3.0585
51.01,3.175
50.9932,3.2925
50.9773,3.4029
50.9605,3.519
50.9443,3.6301
50.9278,3.7421
50.9121,3.8477
50.8954,3.96
50.8782,4.0743
50.8617,4.1832
50.8449,4.2939
50.8282,4.4023
50.8109,4.5141
50.7936,4.6255
50.776,4.7379
50.7586,4.8485
50.7406,4.962
50.723,5.0719
50.7042,5.1884
50.6868,5.2962
50.6674,5.415
50.6504,5.5189
50.6316,5.6322
50.6121,5.7496
50.5943,5.856
50.5752,5.9694
50.5555,6.0855
50.5367,6.1955
50.5175,6.3073
50.4993,6.4127
50.4796,6.5249
50.4606,6.6339
50.4413,6.7436
50.4221,6.8512
50.4023,6.963
50.3821,7.0755
50.3606,7.194
50.3406,7.3038
50.3205,7.4138
50.3006,7.5221
50.2803,7.633
50.2599,7.7407
50.2388,7.8551
50.2187,7.9612
50.1977,8.0715
50.1775,8.178
50.1566,8.287
50.136,8.3937
50.1147,8.5036
50.0937,8.6112
50.0729,8.7172
50.0514,8.8264
50.0295,8.9262
50.0066,9.0237
49.9809,9.1346
49.9573,9.2384
49.9332,9.3433
49.9094,9.4468
49.8836,9.5579
49.8602,9.6581
49.8349,9.7664
49.8106,9.8698
49.786,9.9738
49.7609,10.0793
49.7346,10.1897
49.7099,10.2925
49.6855,10.3937
49.6595,10.5012
49.6349,10.6022
49.6095,10.7065
49.5841,10.8095
49.559,10.9114
49.5341,11.0115
49.5037,11.1136
49.4718,11.2089
49.4395,11.3072
49.4086,11.4009
49.376,11.4991
49.3443,11.594
49.3118,11.6913
49.2799,11.7862
49.2474,11.8827
49.2156,11.9766
49.1867,12.0618
49.152,12.1634
49.1202,12.2564
49.0887,12.3481
49.0579,12.4374
49.0262,12.5291
48.9935,12.6232
48.9603,12.7182
48.9296,12.8062
48.8969,12.8992
48.8642,12.9923
48.8314,13.0852
48.7994,13.1753
48.767,13.2661
48.7345,13.3571
48.7024,13.4465
48.6685,13.5408
48.6508,13.5873
48.6119,13.6714
48.5704,13.7591
48.5314,13.8423
48.4923,13.9252
48.4514,14.0113
48.4112,14.0958
48.3724,14.1771
48.3302,14.2648
48.2914,14.3458
48.2509,14.4298
48.2111,14.5123
48.171,14.5951
48.1289,14.6817
48.0891,14.7632
48.0497,14.8434
48.0183,14.9099
47.9788,14.9985
47.9416,15.0806
47.9032,15.1643
47.8639,15.2492
47.8266,15.3298
47.7865,15.4164
47.7479,15.4989
47.7086,15.5831
47.6691,15.6676
47.6313,15.7478
47.5911,15.8331
47.5538,15.9119
47.515,15.9939
47.4757,16.0763
47.4371,16.1573
47.3976,16.2398
47.3601,16.3179
47.3213,16.3985
47.2813,16.4815
47.2615,16.5215
47.2066,16.6233
47.165,16.7003
47.1235,16.7783
47.0836,16.8532
47.0427,16.9297
47.0012,17.007
46.9588,17.0858
46.9176,17.1622
46.8737,17.2432
46.8319,17.3202
46.7887,17.3997
46.7443,17.4809
46.7044,17.5538
46.6632,17.6289
46.6219,17.7039
46.5796,17.7806
46.5365,17.8584
46.4945,17.934
46.4511,18.0121
46.4093,18.0869
46.3652,18.1656
46.3208,18.2449
46.2768,18.323
46.2355,18.3963
46.193,18.4712
46.1479,18.5508
46.1068,18.623
46.0645,18.6971
46.0335,18.7497
45.9641,18.847
45.9178,18.9127
45.8699,18.9806
45.8216,19.049
45.7724,19.1185
45.7247,19.1856
45.6764,19.2534
45.6284,19.3206
45.5799,19.3885
45.5313,19.4561
45.4814,19.5255
45.4361,19.5884
45.3856,19.658
45.339,19.7223
45.2902,19.7896
45.241,19.8571
45.1902,19.9267
45.138,19.9978
45.0889,20.0648
45.0401,20.1309
44.9908,20.1978
44.9421,20.2636
44.8926,20.3303
44.8432,20.3967
44.7897,20.4685
44.7413,20.5333
44.6927,20.5981
44.6435,20.6636
44.5914,20.7329
44.5411,20.7994
44.4902,20.8666
44.4426,20.9294
44.39,20.9985
44.3409,21.0629
44.2911,21.1282
44.2381,21.1972
44.1898,21.2601
44.1383,21.327
44.0895,21.3902
44.0342,21.4617
43.9867,21.5229
43.9357,21.5885
43.885,21.6535
