latitude,longitude
51.4775,-0.4688
51.4771,-0.489
51.4766,-0.5074
51.4763,-0.5253
51.472,-0.5463
51.4587,-0.5599
51.4414,-0.5592
51.4249,-0.5444
51.4081,-0.5188
51.3933,-0.4923
51.3709,-0.4534
51.3567,-0.4299
51.3428,-0.3963
51.3389,-0.3516
51.338,-0.3086
51.3371,-0.2606
51.3364,-0.2223
51.3353,-0.1667
51.3328,-0.0509
51.3313,0.0343
51.3298,0.1252
51.3286,0.2195
51.3273,0.3156
51.3263,0.4147
51.325,0.5194
51.3236,0.6012
51.3085,0.7478
51.2981,0.8483
51.2869,0.9557
51.2755,1.0631
51.2642,1.1689
51.2525,1.2763
51.2405,1.3869
51.2278,1.5021
51.2152,1.6155
51.2031,1.7241
51.1901,1.8383
51.1766,1.952
51.1611,2.0656
51.1454,2.1814
51.1301,2.2959
51.1142,2.414
51.0985,2.5301
51.082,2.6503
51.0661,2.7662
51.0493,2.8868
51.0325,3.0071
51.0156,3.1272
50.9985,3.2474
50.9812,3.3677
50.9648,3.4815
50.9471,3.6029
50.9301,3.7192
50.9116,3.8443
50.8944,3.9594
50.8772,4.0746
50.8594,4.1917
50.8412,4.3117
50.8232,4.4291
50.8046,4.5492
50.7863,4.6668
50.7681,4.7833
50.7492,4.9027
50.7308,5.0185
50.7122,5.1344
50.6929,5.254
50.6739,5.3703
50.6547,5.4878
50.6357,5.6036
50.6161,5.7215
50.5962,5.8407
50.5765,5.9577
50.5568,6.0737
50.5372,6.1892
50.5167,6.3082
50.497,6.4223
50.4765,6.5403
50.4561,6.6569
50.4353,6.7751
50.4146,6.8914
50.3942,7.0056
50.373,7.1237
50.3524,7.2377
50.3311,7.3542
50.3092,7.4741
50.288,7.589
50.2661,7.707
50.2445,7.8227
50.2225,7.9397
50.2011,8.053
50.1788,8.17
50.1568,8.2849
50.134,8.4036
50.1113,8.5203
50.0886,8.637
50.0659,8.7529
50.0437,8.8637
50.0204,8.9656
49.9898,9.0964
49.9652,9.2035
49.938,9.3223
49.9122,9.4344
49.8854,9.5503
49.8586,9.6649
49.8324,9.7771
49.8062,9.8879
49.7782,10.0065
49.7508,10.1214
49.7244,10.232
49.6977,10.343
49.6705,10.4556
49.6423,10.5719
49.6153,10.6826
49.5871,10.7973
49.5596,10.9087
49.532,11.0193
49.5074,11.1026
49.4705,11.2128
49.4356,11.3188
49.3981,11.4328
49.3615,11.5426
49.3261,11.6487
49.2908,11.7538
49.2595,11.8464
49.2155,11.9617
49.1746,12.0647
49.134,12.1696
49.0935,12.2746
49.054,12.3767
49.0137,12.4802
48.974,12.5817
48.9335,12.6851
48.8929,12.7883
48.853,12.8891
48.8113,12.9944
48.7687,13.1013
48.7294,13.1995
48.6874,13.304
48.6459,13.4071
48.6031,13.513
48.5626,13.6128
48.5202,13.7166
48.4787,13.8181
48.4376,13.9183
48.3963,14.0183
48.3548,14.1188
48.313,14.2195
48.2707,14.3209
48.2276,14.4239
48.1844,14.5267
48.1435,14.6236
48.0995,14.7275
48.0565,14.8289
48.0143,14.9253
47.9694,15.0212
47.9205,15.1262
47.8783,15.2179
47.834,15.3137
47.7897,15.4092
47.746,15.503
47.6997,15.6022
47.6576,15.6919
47.6125,15.7875
47.5689,15.8799
47.5247,15.9732
47.4794,16.0686
47.4362,16.1591
47.3908,16.2539
47.344,16.3512
47.3,16.4426
47.2548,16.5348
47.2052,16.6268
47.1575,16.7147
47.1088,16.8058
