"tpr","fpr"
0.325,0
0.2375,0
0.325,0
0.275,0
0.3125,0
0.3125,0
0.2875,0
0.3125,0
0.3125,0
0.3875,0.00238095238095238
0.3,0
0.425,0
0.425,0
0.3375,0
0.2125,0
0.275,0
0.4875,0
0.325,0
0.425,0
0.325,0
0.4875,0
0.35,0
0.3125,0
0.3625,0
0.2625,0
0.2625,0
0.325,0
0.375,0
0.3375,0
0.4375,0
0.425,0
0.4,0
0.1875,0
0.0875,0
0.325,0
0.25,0
0.2625,0
0.3375,0
0.3875,0
0.3375,0
0.125,0
0.2125,0
0.15,0
0.025,0
0.3375,0
0.3,0
0.4,0
0.375,0
0.275,0
0.3375,0
0.3125,0
0.4,0
0.3,0
0.2875,0
0.175,0
0.325,0
0.275,0
0.2625,0
0.2875,0
0.3875,0
0.375,0
0.3375,0
0.4375,0
0.2875,0
0.3,0
0.325,0
0.25,0
0.375,0
0.2875,0
0.4,0
0.2375,0
0.375,0
0.4125,0
0.1875,0
0.2875,0
0.3625,0.00238095238095238
0.3375,0
0.3875,0
0.2,0
0.275,0
0.425,0
0.1875,0
0.425,0
0.2,0
0.25,0
0.3375,0
0.2375,0
0.05,0
0.4,0
0.3125,0
0.25,0
0.4,0
0.275,0
0.3875,0
0.25,0
0.35,0
0.3875,0
0.4,0
0.35,0
0.5,0.00238095238095238
0.2375,0
0.325,0
0.275,0
0.225,0
0.2875,0
0.125,0
0.4,0
0.3125,0
0.4,0
0.3875,0
0.225,0
0.4375,0
0.2375,0
0.2875,0
0.2625,0
0.375,0
0.325,0
0.35,0
0.2875,0
0.3375,0
0.1625,0
0.3875,0
0.3875,0
0.4625,0
0.275,0
0.3,0
0.2375,0
0.4125,0
0.25,0
0.3125,0
0.1875,0
0.4125,0
0.3,0
0.2,0
0.3375,0
0.0625,0
0.2875,0
0.4375,0
0.3,0
0.3,0
0.3125,0
0.4625,0
0.3375,0
0.3,0
0.4,0
0.25,0
0.225,0
0.2,0
0.175,0
0.2125,0
0.2,0
0.35,0
0.25,0
0.3,0
0.2625,0
0.3375,0
0.4125,0
0.425,0
0.35,0
0.2,0
0.2375,0
0.3875,0
0.3625,0
0.425,0
0.2375,0
0.4875,0
0.2625,0
0.4,0
0.2625,0
0.3875,0
0.2125,0
0.1625,0
0.175,0
0.325,0
0.2875,0
0.1875,0
0.2625,0
0.0375,0
0.35,0
0.2125,0
0.3375,0.00238095238095238
0.325,0
0.375,0
0.2,0
0.3,0
0.325,0
0.4875,0
0.3625,0
0.275,0
0.3,0
0.2875,0
0.3125,0
0.3125,0
0.2125,0
0.35,0
0.2625,0
0.3875,0
0.3625,0
0.0875,0
0.4,0
